//X,Y,Z,R,G,B,NumberOfReturns,ReturnNumber,GpsTime,Intensity,Classification
4474
-6.70525000,-8.13225000,-1.53025001,196,182,74,3.000000,1.000000,144.511810,16383.000000,0.000000
-6.68300006,-8.08200001,-1.52175003,168,160,81,2.000000,1.000000,144.532360,29053.000000,0.000000
-6.70599994,-8.13324999,-1.51574998,187,172,80,2.000000,1.000000,144.511806,26825.000000,0.000000
-7.23925001,-8.18125000,-1.18849998,146,145,110,2.000000,1.000000,139.717432,14789.000000,0.000000
-7.23499999,-8.15249999,-1.19475000,161,153,124,3.000000,1.000000,139.758535,18022.000000,0.000000
-7.18025002,-7.85224997,-1.14500003,212,199,148,2.000000,1.000000,140.190079,13740.000000,0.000000
-6.69724998,-8.13274999,-1.52950000,197,176,59,2.000000,1.000000,138.710649,31150.000000,0.000000
-6.69300005,-8.13825001,-1.51700001,204,193,97,2.000000,1.000000,138.690094,25078.000000,0.000000
-6.69700000,-8.13199999,-1.52149998,206,184,69,2.000000,1.000000,138.710646,36918.000000,0.000000
-6.68224999,-8.10350000,-1.52574997,201,185,64,1.000000,1.000000,138.731199,37726.000000,0.000000
-6.68350002,-8.10449999,-1.51800000,225,202,82,2.000000,1.000000,138.731197,34930.000000,0.000000
-6.69874999,-8.13425001,-1.51424997,195,168,71,2.000000,1.000000,138.710644,35301.000000,0.000000
-6.70275006,-8.12800001,-1.51424997,225,196,92,2.000000,1.000000,138.731193,13565.000000,0.000000
-6.70049998,-8.13600000,-1.50700002,210,178,83,2.000000,1.000000,138.710640,24903.000000,0.000000
-6.69625005,-8.14175000,-1.50975000,210,187,105,2.000000,1.000000,138.690090,35410.000000,0.000000
-6.66875002,-8.07350000,-1.51475000,193,188,73,2.000000,1.000000,138.751747,12517.000000,0.000000
-6.82450000,-8.14149999,-1.24799996,205,200,145,1.000000,1.000000,138.957121,38294.000000,0.000000
-6.82925001,-8.13625001,-1.24799996,182,179,133,2.000000,1.000000,138.977671,35913.000000,0.000000
-6.84325001,-8.12874999,-1.24824994,188,186,145,2.000000,1.000000,139.018770,26410.000000,0.000000
-6.83600000,-8.13074999,-1.24900001,203,201,160,1.000000,1.000000,138.998220,36612.000000,0.000000
-6.69650003,-7.91474997,-0.65774994,110,131,72,2.000000,1.000000,139.080164,17082.000000,0.000000
-6.67749998,-7.90250002,-0.65825003,108,128,68,2.000000,1.000000,139.059612,32570.000000,0.000000
-6.70175001,-7.92075001,-0.62825006,157,160,70,3.000000,2.000000,139.080149,35323.000000,0.000000
-6.70675001,-7.91624998,-0.62850004,163,168,75,1.000000,1.000000,139.100700,34777.000000,0.000000
-6.68449995,-7.91049998,-0.65150004,98,121,52,1.000000,1.000000,139.059610,37507.000000,0.000000
-6.78825000,-8.00975000,-0.39449995,107,125,32,3.000000,1.000000,139.100590,24051.000000,0.000000
-6.72800002,-7.89300000,-0.61624997,189,205,99,3.000000,2.000000,139.182892,27415.000000,0.000000
-6.72375003,-7.91250001,-0.62225001,191,201,98,2.000000,1.000000,139.141796,33641.000000,0.000000
-6.70775005,-7.90450000,-0.62250000,174,171,74,3.000000,2.000000,139.121246,29927.000000,0.000000
-6.76000002,-8.04524999,-0.39550012,169,170,77,2.000000,1.000000,138.977289,39714.000000,0.000000
-6.76425001,-8.03675001,-0.39624994,147,152,57,3.000000,1.000000,138.997839,37595.000000,0.000000
-6.76699999,-8.02950000,-0.39499991,126,134,38,2.000000,1.000000,139.018391,40391.000000,0.000000
-6.78325001,-8.01425000,-0.39425009,120,137,43,3.000000,1.000000,139.080040,34908.000000,0.000000
-6.77075002,-8.02275001,-0.39475005,121,137,34,1.000000,1.000000,139.038940,39998.000000,0.000000
-6.76299998,-8.02450000,-0.38749998,139,147,48,2.000000,1.000000,139.018387,21342.000000,0.000000
-6.78050003,-7.91949998,-0.49175005,149,147,50,3.000000,1.000000,139.244484,26869.000000,0.000000
-7.27300000,-8.16475000,-1.20550006,34,36,3,2.000000,1.000000,228.529306,24903.000000,0.000000
-7.27125001,-8.16625001,-1.20575004,40,40,8,2.000000,1.000000,228.549845,32112.000000,0.000000
-7.26725000,-8.16725000,-1.20725005,48,47,14,2.000000,1.000000,228.570398,35345.000000,0.000000
-7.26300001,-8.16449999,-1.20874994,46,46,6,2.000000,1.000000,228.570414,14636.000000,0.000000
-7.26124999,-8.16725000,-1.20600002,39,42,9,2.000000,1.000000,228.590952,20687.000000,0.000000
-7.26750001,-8.16725000,-1.20425003,38,34,11,2.000000,1.000000,228.570398,33160.000000,0.000000
-7.26824999,-8.16800000,-1.20149999,53,44,18,2.000000,1.000000,228.570398,18480.000000,0.000000
-7.26124999,-8.16699999,-1.20300000,53,54,20,2.000000,1.000000,228.590952,31697.000000,0.000000
-7.26725000,-8.16350000,-1.20125001,30,28,5,2.000000,1.000000,228.549845,17388.000000,0.000000
-7.23574999,-8.17300000,-1.19499999,95,98,47,2.000000,1.000000,228.734796,32505.000000,0.000000
-7.25450000,-8.16524999,-1.20100003,70,62,26,2.000000,1.000000,228.611505,30386.000000,0.000000
-7.26025000,-8.16925000,-1.20024996,83,67,19,2.000000,1.000000,228.611490,30015.000000,0.000000
-7.26100001,-8.16699999,-1.19975000,80,70,28,2.000000,1.000000,228.590952,26497.000000,0.000000
-7.25450000,-8.16524999,-1.19499999,82,74,13,2.000000,1.000000,228.611490,12757.000000,0.000000
-7.24900001,-8.16899999,-1.19874995,81,62,20,2.000000,1.000000,228.652597,36459.000000,0.000000
