//X,Y,Z,R,G,B,NumberOfReturns,ReturnNumber,GpsTime,Intensity,Classification
97
-6.86324999,-8.12850001,-1.32775002,161,145,64,1.000000,1.000000,139.059904,46202.000000,2.000000
-6.88775000,-8.09749999,-1.35425001,90,81,31,1.000000,1.000000,229.742075,65535.000000,2.000000
-6.88125000,-8.11500000,-1.33925002,193,202,209,1.000000,1.000000,229.885904,56032.000000,2.000000
-6.87950000,-8.11650001,-1.33349996,225,232,236,1.000000,1.000000,229.906443,48277.000000,2.000000
-6.88399997,-8.11950000,-1.32974999,228,233,236,1.000000,1.000000,229.906443,44957.000000,2.000000
-6.87875000,-8.11950000,-1.33275002,220,227,233,2.000000,1.000000,229.926996,42422.000000,2.000000
-6.88049999,-8.11724999,-1.33100002,229,234,237,1.000000,1.000000,229.906443,46355.000000,2.000000
-6.88549999,-8.12400000,-1.32725006,213,223,232,2.000000,1.000000,229.926981,28857.000000,2.000000
-6.87850002,-8.12275000,-1.32775002,213,223,232,2.000000,1.000000,229.947535,20534.000000,2.000000
-6.88250002,-8.11850001,-1.32600003,222,229,235,1.000000,1.000000,229.906427,43690.000000,2.000000
-6.88374999,-8.11650001,-1.32600003,223,231,237,1.000000,1.000000,229.885889,45393.000000,2.000000
-6.88399997,-8.11950000,-1.32400005,216,226,236,2.000000,1.000000,229.906427,37070.000000,2.000000
-6.88425002,-8.11700000,-1.32349997,216,226,238,2.000000,1.000000,229.885874,41287.000000,2.000000
-6.88000003,-8.11650001,-1.31925004,210,222,235,2.000000,1.000000,229.906427,22150.000000,2.000000
-6.87875000,-8.11300000,-1.30975001,207,220,230,2.000000,1.000000,229.885874,29949.000000,2.000000
-6.88049999,-8.11424999,-1.30750006,207,219,227,2.000000,1.000000,229.885858,42838.000000,2.000000
-6.87974998,-8.11375000,-1.30425005,196,207,207,2.000000,1.000000,229.885858,44716.000000,2.000000
-6.88000003,-8.11050000,-1.30925005,212,221,231,1.000000,1.000000,229.865320,42160.000000,2.000000
-6.87149999,-8.12975000,-1.34324997,211,222,235,2.000000,1.000000,230.029764,48342.000000,2.000000
-6.87125000,-8.12975000,-1.34024995,213,224,237,2.000000,1.000000,230.029749,40129.000000,2.000000
