//X,Y,Z,R,G,B,NumberOfReturns,ReturnNumber,GpsTime,Intensity,Classification
4817
-6.81500003,-8.17974999,-1.76525002,121,136,99,1.000000,1.000000,144.594065,50964.000000,1.000000
-6.84099999,-8.16275000,-1.73825001,74,89,40,1.000000,1.000000,144.635158,48452.000000,1.000000
-6.86999998,-8.12800001,-1.44300001,155,138,54,2.000000,2.000000,144.696739,43711.000000,1.000000
-6.83299998,-8.16825001,-1.73350000,122,127,39,2.000000,1.000000,138.936783,44105.000000,1.000000
-6.80350003,-8.18225001,-1.77649998,168,166,83,1.000000,1.000000,138.854603,46901.000000,1.000000
-6.79849997,-8.18674999,-1.78374999,159,157,70,1.000000,1.000000,138.834057,50483.000000,1.000000
-6.78975001,-8.17625000,-1.77399998,146,144,61,1.000000,1.000000,138.834053,49347.000000,1.000000
-6.80424997,-8.18299999,-1.76099997,157,155,70,1.000000,1.000000,138.854595,52843.000000,1.000000
-6.76850000,-8.17525001,-1.76499998,112,115,59,1.000000,1.000000,138.792950,45437.000000,1.000000
-6.85150001,-8.14075001,-1.45800000,144,140,84,1.000000,1.000000,139.018862,50745.000000,1.000000
-6.84924999,-8.13825001,-1.45025002,120,116,48,1.000000,1.000000,139.018860,51073.000000,1.000000
-6.87600002,-8.12424999,-1.39624994,161,147,80,1.000000,1.000000,139.101036,65535.000000,1.000000
-6.86824998,-8.13574999,-1.43700003,165,157,95,2.000000,1.000000,139.059952,43864.000000,1.000000
-6.84849998,-8.13750001,-1.44225001,126,123,49,1.000000,1.000000,139.018856,50833.000000,1.000000
-6.86450002,-8.13125001,-1.42849999,170,160,98,1.000000,1.000000,139.059948,45000.000000,1.000000
-6.90374997,-8.07100000,-1.20374995,62,70,36,1.000000,1.000000,139.244799,45503.000000,1.000000
-6.89650002,-8.07600000,-1.21024995,67,73,35,1.000000,1.000000,139.224253,48080.000000,1.000000
-6.93749997,-8.03574999,-0.98675006,204,185,98,1.000000,1.000000,139.368004,47949.000000,1.000000
-6.88799998,-8.09374999,-1.31699996,113,111,16,1.000000,1.000000,229.721476,47272.000000,1.000000
-6.88724998,-8.09299999,-1.31399994,134,115,16,1.000000,1.000000,229.721476,48277.000000,1.000000
-6.88325003,-8.09400000,-1.31499999,117,132,45,1.000000,1.000000,229.742029,47403.000000,1.000000
-6.88149998,-8.09600001,-1.31450003,126,139,42,1.000000,1.000000,229.762583,47862.000000,1.000000
-6.89275000,-8.09425001,-1.31275003,133,104,8,1.000000,1.000000,229.700922,46791.000000,1.000000
-6.89025000,-8.09525000,-1.31250005,173,145,18,1.000000,1.000000,229.721476,48080.000000,1.000000
-6.88900003,-8.09450000,-1.30899995,151,127,29,1.000000,1.000000,229.721460,48146.000000,1.000000
-6.88825002,-8.09374999,-1.30574995,126,110,23,1.000000,1.000000,229.721460,48932.000000,1.000000
-6.89000002,-8.09249999,-1.30849998,162,137,48,1.000000,1.000000,229.700922,48037.000000,1.000000
-6.88474998,-8.09475001,-1.31275003,147,133,32,1.000000,1.000000,229.742029,48059.000000,1.000000
-6.88649997,-8.09600001,-1.31074994,196,169,66,1.000000,1.000000,229.742014,48539.000000,1.000000
-6.88675001,-8.09600001,-1.30800002,157,132,55,1.000000,1.000000,229.742014,48801.000000,1.000000
-6.89675000,-8.08450001,-1.30349999,117,100,12,1.000000,1.000000,229.618708,45546.000000,1.000000
-6.89675000,-8.08125000,-1.30399995,154,143,46,1.000000,1.000000,229.598154,42532.000000,1.000000
-6.89725003,-8.08125000,-1.30125003,159,146,52,2.000000,1.000000,229.598154,45393.000000,1.000000
-6.90099999,-8.08375000,-1.29699998,155,146,44,2.000000,1.000000,229.598154,45066.000000,1.000000
-6.89624998,-8.08400001,-1.30049997,135,114,25,1.000000,1.000000,229.618708,47556.000000,1.000000
-6.89774999,-8.08500000,-1.29849999,157,139,44,1.000000,1.000000,229.618708,47534.000000,1.000000
-6.89699999,-8.08125000,-1.29849999,157,147,48,1.000000,1.000000,229.598154,46944.000000,1.000000
-6.90000001,-8.08325001,-1.29374998,142,132,44,1.000000,1.000000,229.598154,43864.000000,1.000000
-6.89699999,-8.08424999,-1.29224997,95,91,15,1.000000,1.000000,229.618692,47250.000000,1.000000
-6.88900003,-8.09174999,-1.30249994,175,160,77,1.000000,1.000000,229.700907,47665.000000,1.000000
-6.88350001,-8.09374999,-1.30374997,122,103,30,1.000000,1.000000,229.742014,50243.000000,1.000000
-6.88675001,-8.09600001,-1.30224996,91,62,8,1.000000,1.000000,229.742014,47949.000000,1.000000
-6.88724998,-8.09299999,-1.30249994,139,120,37,1.000000,1.000000,229.721460,48430.000000,1.000000
-6.88600001,-8.09550001,-1.29899996,91,70,25,1.000000,1.000000,229.742014,49326.000000,1.000000
-6.88724998,-8.09275000,-1.29975002,150,126,58,1.000000,1.000000,229.721460,48583.000000,1.000000
-6.89524999,-8.08650001,-1.30074995,139,118,33,1.000000,1.000000,229.639261,47010.000000,1.000000
-6.89250001,-8.08725001,-1.29775005,177,160,68,1.000000,1.000000,229.659800,47447.000000,1.000000
-6.89500001,-8.08625000,-1.29775005,131,110,20,1.000000,1.000000,229.639246,48561.000000,1.000000
-6.89250001,-8.08725001,-1.29475003,150,138,48,1.000000,1.000000,229.659800,47927.000000,1.000000
-6.89474997,-8.08625000,-1.29475003,116,97,18,1.000000,1.000000,229.639246,47207.000000,1.000000
-6.89350000,-8.08549999,-1.29150002,99,84,18,1.000000,1.000000,229.639246,46944.000000,1.000000
-6.89449999,-8.08250000,-1.28850000,75,78,13,1.000000,1.000000,229.618692,47753.000000,1.000000
-6.90075001,-8.07649999,-1.21349996,210,189,135,1.000000,1.000000,229.556955,49216.000000,1.000000
-6.90175000,-8.07724999,-1.21100002,219,198,148,1.000000,1.000000,229.556940,48517.000000,1.000000
-6.90349999,-8.07524999,-1.21225005,178,150,69,1.000000,1.000000,229.536402,48146.000000,1.000000
-6.90325001,-8.07500001,-1.20950001,191,169,95,1.000000,1.000000,229.536386,47818.000000,1.000000
-6.89975003,-8.07250001,-1.21349996,157,130,73,1.000000,1.000000,229.536402,49107.000000,1.000000
-6.90374997,-8.07274999,-1.21199995,163,130,32,1.000000,1.000000,229.515848,47862.000000,1.000000
-6.90400002,-8.07300000,-1.20649999,199,202,86,1.000000,1.000000,229.515833,47906.000000,1.000000
-6.90449998,-8.06975000,-1.20349997,116,129,23,1.000000,1.000000,229.495295,47731.000000,1.000000
-6.90049997,-8.07050001,-1.20775002,206,195,69,1.000000,1.000000,229.515848,48910.000000,1.000000
-6.90325001,-8.06900000,-1.20575004,159,161,49,1.000000,1.000000,229.495295,48495.000000,1.000000
-6.93899998,-8.04274999,-1.06000000,100,105,95,1.000000,1.000000,229.166300,49173.000000,1.000000
-6.93850002,-8.04225000,-1.05724996,99,94,86,1.000000,1.000000,229.166300,47862.000000,1.000000
-6.93399999,-8.04274999,-1.06100004,49,57,37,1.000000,1.000000,229.186853,49129.000000,1.000000
-6.93474999,-8.04300000,-1.05849998,62,61,35,1.000000,1.000000,229.186853,48714.000000,1.000000
-6.92975000,-8.04300000,-1.06049996,93,103,71,1.000000,1.000000,229.207407,48889.000000,1.000000
-6.93025002,-8.04325001,-1.05800002,89,92,39,1.000000,1.000000,229.207407,48932.000000,1.000000
-6.93200001,-8.04125001,-1.06325000,78,86,68,1.000000,1.000000,229.186869,49260.000000,1.000000
-6.93700001,-8.04450001,-1.05650001,85,77,36,1.000000,1.000000,229.186853,48561.000000,1.000000
-6.93899998,-8.04250001,-1.05199998,76,90,54,1.000000,1.000000,229.166300,45699.000000,1.000000
-6.93600002,-8.04399999,-1.05349999,109,110,62,1.000000,1.000000,229.186853,48954.000000,1.000000
-6.93125001,-8.04399999,-1.05549996,146,144,60,1.000000,1.000000,229.207407,48823.000000,1.000000
-6.92999998,-8.04300000,-1.05249994,168,173,89,1.000000,1.000000,229.207392,49326.000000,1.000000
-6.92800000,-8.04199999,-1.06250005,114,124,97,1.000000,1.000000,229.207407,49413.000000,1.000000
-6.92800000,-8.04450001,-1.06100004,118,131,95,1.000000,1.000000,229.227961,48474.000000,1.000000
-6.93824998,-8.04225000,-1.04899996,66,78,50,1.000000,1.000000,229.166285,47010.000000,1.000000
-6.95350000,-8.02725001,-1.00249999,100,94,35,1.000000,1.000000,229.001825,43384.000000,1.000000
-6.94575003,-8.02825000,-1.00624996,104,100,46,1.000000,1.000000,229.042932,48080.000000,1.000000
-6.94825003,-8.02725001,-1.00650006,141,129,57,1.000000,1.000000,229.022394,46245.000000,1.000000
-6.94575003,-8.02825000,-1.00350004,129,132,57,1.000000,1.000000,229.042932,48889.000000,1.000000
-6.94899997,-8.02775001,-1.00400000,135,125,57,1.000000,1.000000,229.022379,46573.000000,1.000000
-6.94700000,-8.02625000,-0.99774998,88,89,23,1.000000,1.000000,229.022379,48779.000000,1.000000
-6.94575003,-8.02575000,-1.00025003,135,136,57,1.000000,1.000000,229.022379,47469.000000,1.000000
-6.94149998,-8.03475001,-1.02175003,202,161,76,1.000000,1.000000,229.104608,48670.000000,1.000000
-6.93724999,-8.03550001,-1.02000003,157,132,65,1.000000,1.000000,229.125162,49020.000000,1.000000
-6.93950001,-8.03350001,-1.01850002,152,114,55,1.000000,1.000000,229.104608,48692.000000,1.000000
-6.93824998,-8.03249999,-1.01525002,150,104,36,1.000000,1.000000,229.104593,49719.000000,1.000000
-6.94375000,-8.02999999,-1.00500005,55,60,24,1.000000,1.000000,229.063486,48190.000000,1.000000
-6.94149998,-8.03449999,-0.99449997,52,51,26,1.000000,1.000000,229.104578,48255.000000,1.000000
-6.94049999,-8.03374999,-0.99149995,48,49,13,1.000000,1.000000,229.104563,49238.000000,1.000000
-6.94525001,-8.02775001,-1.00075000,137,154,73,1.000000,1.000000,229.042932,47840.000000,1.000000
-6.94450000,-8.02725001,-0.99750000,70,81,19,1.000000,1.000000,229.042932,49107.000000,1.000000
-6.94299999,-8.03275000,-0.99424999,70,72,40,1.000000,1.000000,229.084024,48474.000000,1.000000
-6.94175002,-8.03200000,-0.99124997,135,140,98,1.000000,1.000000,229.084024,50134.000000,1.000000
-6.94025001,-8.03350001,-0.98875003,68,75,27,1.000000,1.000000,229.104563,48867.000000,1.000000
